sp,seed source location,dead,notes,trt,rep,series,subgenus,genetic.lineage,n.kg.ha.yr,p.kg.ha.yr,ht.23.cm,ht.53.cm,ht.82.cm,ht.144.cm,ht.197.cm,bd.246.mm,ht.246.in,ht.246.cm,leaf 1 cm2,leaf 2 cm2,leaf 1 mg,leaf 2 mg,sla 1 cm2 g,sla 2 cm2 g,leaf size cm2,sla cm2 g,harvest day dec 2015,days old,ht cm,stem diam mm,lig diam mm,rel lig size,Percent rust scaleinsects discoloration mildew,winrhizo id,srl cm,srl g,srl cm g,extra root g,total root g,ssd vol cm3,ssd mass g,ssd mg mm3,extra agb g,total agb g,rs,total biomass g,RGR
E. amygdalina,,n,,1,1,Piperitae,E,Peppermint,0,0,2.54,3.81,3.81,3.5,18,1.9,8,20.32,8.2512,3.4311,61.5,29.2,134.1658537,117.5034247,5.84115,125.8346392,3,342,18.5,2.3,2.3,0,100,amy11,1410.4355,0.11147,12653.05015,0.04468,0.15615,0.382,0.1852,0.484816754,0.71091,0.98681,0.158237148,1.14296,0.003341988
E. amygdalina,,n,,1,2,Piperitae,E,Peppermint,0,0,1.905,3.81,6.35,9.5,21,4.1,10,25.4,6.5055,5.4343,38,30.6,171.1973684,177.5915033,5.9699,174.3944358,3,342,27,3.7,3.7,0,90,amy12,2046.5806,0.18806,10882.59385,1.54768,1.73574,1.22,0.4998,0.409672131,2.21451,2.78291,0.623714026,4.51865,0.013212427
E. amygdalina,,n,,1,3,Piperitae,E,Peppermint,0,0,2.2225,4.445,8.255,10,26,4.36,11.5,29.21,4.9348,4.5987,36.4,31.8,135.5714286,144.6132075,4.76675,140.0923181,3,342,28.5,4.36,7.11,0.630733945,100,amy13,1179.0538,0.22561,5226.070653,3.29343,3.51904,1.012,0.4631,0.457608696,4.81635,5.34765,0.658053538,8.86669,0.025925994
E. amygdalina,,n,,1,4,Piperitae,E,Peppermint,0,0,1.905,5.3975,12.065,18,51,5,22,55.88,7.0328,6.6466,40.5,27.6,173.6493827,240.8188406,6.8397,207.2341116,3,342,63,6.23,10.84,0.739967897,80,amy14,2172.9622,0.46383,4684.824612,9.69436,10.15819,3.216,1.4041,0.436598259,9.53282,11.00502,0.923050571,21.16321,0.061880731
E. amygdalina,,n,,1,5,Piperitae,E,Peppermint,0,0,2.2225,3.81,4.445,3,24,3.46,11,27.94,7.9286,7.397,65.8,59.9,120.4954407,123.4891486,7.6628,121.9922947,3,342,27,2.94,4.44,0.510204082,80,amy15,1627.0826,0.23127,7035.424396,1.16853,1.3998,0.821,0.3742,0.455785627,1.909,2.4089,0.581095106,3.8087,0.01113655
E. amygdalina,,n,,2,1,Piperitae,E,Peppermint,0,12,3.4925,4.6355,5.08,6,9,1,4,10.16,,,,,,,,,11,350,10,1.49,1.49,0,100,amy21,206.2885,0.0431,4786.276102,0,0.0431,0.143,0.0654,0.457342657,0.13967,0.20507,0.210172136,0.24817,0.000709057
E. amygdalina,,n,,2,2,Piperitae,E,Peppermint,0,12,2.54,4.7625,6.985,7,13,2.8,9,22.86,3.3006,4.4304,14.4,20.4,229.2083333,217.1764706,3.8655,223.192402,3,342,22.5,2.82,6.8,1.411347518,40,amy22,1291.8384,0.20322,6356.846767,1.17562,1.37884,0.455,0.1993,0.438021978,1.66136,1.89546,0.72744347,3.2743,0.009573977
E. amygdalina,,n,,2,3,Piperitae,E,Peppermint,0,12,3.175,6.6675,8.89,10,20,2.1,8,20.32,2.8401,3.4798,25.6,32.5,110.9414063,107.0707692,3.15995,109.0060877,3,342,20.5,3.64,3.64,0,100,amy23,1354.0345,0.19288,7020.087619,0.37598,0.56886,,,,0.88221,0.94031,0.604970701,1.50917,0.004412778
E. amygdalina,,n,,2,4,Piperitae,E,Peppermint,0,12,2.54,6.35,8.255,8,15,1.3,7,17.78,3.959,,26.3,,150.5323194,,3.959,150.5323194,3,342,16.5,1.69,2.66,0.573964497,90,amy24,2446.1832,0.34877,7013.743155,0,0.34877,,,,0.4212,0.4475,0.779374302,0.79627,0.002328275
E. amygdalina,,n,,2,5,Piperitae,E,Peppermint,0,12,3.4925,5.3975,8.89,10,25,2.7,11,27.94,4.8654,5.8558,36.2,54,134.4033149,108.4407407,5.3606,121.4220278,3,342,28,3.16,5.85,0.851265823,100,amy25,1944.7039,0.30472,6381.937188,1.29935,1.60407,0.55,0.2383,0.433272727,3.605,3.9335,0.407797127,5.53757,0.016191725
E. amygdalina,,n,,3,1,Piperitae,E,Peppermint,12,0,3.4925,6.35,9.525,15,42,4,19,48.26,4.6486,5.2645,30.7,44,151.4201954,119.6477273,4.95655,135.5339614,3,342,47,4.27,4.27,0,60,amy31,1949.423,0.38987,5000.187242,2.65699,3.04686,1.389,0.5788,0.416702664,6.08543,6.73893,0.452128157,9.78579,0.028613421
E. amygdalina,,n,,3,2,Piperitae,E,Peppermint,12,0,3.175,5.3975,9.525,18,45,7.9,24,60.96,3.3695,6.4089,21.9,44.4,153.8584475,144.3445946,4.8892,149.101521,3,342,62,8.15,9.7,0.190184049,80,amy32,2623.6292,0.33358,7865.06745,10.10653,10.44011,5.714,2.3975,0.419583479,12.68131,15.14511,0.689338671,25.58522,0.074810585
E. amygdalina,,n,,3,3,Piperitae,E,Peppermint,12,0,2.8575,5.715,8.89,16,35,3.5,19,48.26,3.4021,3.8179,18.8,21.1,180.962766,180.943128,3.61,180.952947,11,350,63,7.05,7.05,0,80,amy33,1284.6851,0.17862,7192.28026,2.23079,2.40941,3.354,1.4019,0.417978533,5.24493,6.68673,0.360327096,9.09614,0.025988971
E. amygdalina,,n,,3,4,Piperitae,E,Peppermint,12,0,3.175,4.7625,5.715,10,39,3.9,19,48.26,6.1345,3.856,33,24.5,185.8939394,157.3877551,4.99525,171.6408472,3,342,59,6.25,8.09,0.2944,50,amy34,1532.2547,0.20049,7642.549254,4.95426,5.15475,2.713,1.4619,0.538849982,7.34925,8.86865,0.581232769,14.0234,0.041004094
E. amygdalina,,n,,3,5,Piperitae,E,Peppermint,12,0,1.905,3.4925,5.08,5,18,,,0,2.8416,2.7931,14.8,16,192,174.56875,2.81735,183.284375,3,342,19.5,2.8,2.8,0,100,amy35,1613.7788,0.3082,5236.141467,1.25215,1.56035,0.549,0.2257,0.411111111,1.21001,1.46651,1.063988653,3.02686,0.008850468
E. amygdalina,,n,,4,1,Piperitae,E,Peppermint,12,12,2.8575,6.35,8.255,10,20,1.8,8,20.32,3.6542,3.4807,18.7,16.5,195.4117647,210.9515152,3.56745,203.1816399,3,342,20,2.71,5.4,0.992619926,80,amy41,1178.3742,0.19906,5919.69356,0.074701,0.273761,0.529,0.2356,0.44536862,1.29666,1.56746,0.174652623,1.841221,0.005383687
E. amygdalina,,n,srl cm missing,4,2,Piperitae,E,Peppermint,12,12,1.905,3.4925,5.08,8.5,38,5.92,19.5,49.53,5.8506,3.7626,45.8,29,127.7423581,129.7448276,4.8066,128.7435928,3,342,51,6.47,11.8,0.823802164,80,,,0.23,,6.95272,7.18272,3.564,1.598,0.448372615,8.7303,10.4031,0.69044035,17.58582,0.051420526
E. amygdalina,,n,,4,3,Piperitae,E,Peppermint,12,12,2.54,4.1275,6.35,16.5,30,3.4,12,30.48,4.8284,5.9234,34.4,46.8,140.3604651,126.5683761,5.3759,133.4644206,3,342,31,4.41,4.41,0,10,amy43,2608.4312,0.45856,5688.309491,2.51704,2.9756,1.42,0.6088,0.428732394,,,,,
E. amygdalina,,n,,4,4,Piperitae,E,Peppermint,12,12,3.175,5.08,6.35,6,36,4.15,14,35.56,,,,,,,,,3,342,38.5,4.9,10.07,1.055102041,95,amy44,1987.2466,0.25486,7797.40485,1.58618,1.84104,1.335,0.5879,0.440374532,2.4771,3.065,0.600665579,4.90604,0.014345146
E. amygdalina,,n,,4,5,Piperitae,E,Peppermint,12,12,2.8575,5.715,8.255,12,30,2.7,11,27.94,4.8831,3.1828,34.9,28.5,139.9169054,111.677193,4.03295,125.7970492,3,342,29.75,3.38,9.25,1.736686391,20,amy45,1679.6733,0.16886,9947.135497,1.04475,1.21361,0.403,0.1861,0.4617866,2.19679,2.44629,0.496102261,3.6599,0.010701462
E. amygdalina,,n,,5,1,Piperitae,E,Peppermint,24,0,2.8575,4.7625,6.985,11,23,2.3,11,27.94,2.7825,2.8786,19.5,11.5,142.6923077,250.3130435,2.83055,196.5026756,3,342,27.5,3,3.77,0.256666667,70,amy51,1008.8604,0.16412,6147.089934,1.53833,1.70245,0.885,0.406,0.458757062,1.09635,1.53335,1.11028141,3.2358,0.009461404
E. amygdalina,,n,,5,2,Piperitae,E,Peppermint,24,0,3.4925,8.5725,11.43,15.5,29,3.9,11,27.94,6.2368,5.809,39.5,35.4,157.8936709,164.0960452,6.0229,160.994858,3,342,23,4.5,5.89,0.308888889,100,amy52,2089.3897,0.41194,5072.072875,2.29103,2.70297,0.65,0.2929,0.450615385,,,,,
E. amygdalina,,y,,5,3,Piperitae,E,Peppermint,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. amygdalina,,y,,5,4,Piperitae,E,Peppermint,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. amygdalina,,n,,5,5,Piperitae,E,Peppermint,24,0,2.54,3.81,7.62,13,24,2.9,14,35.56,,,,,,,,,3,342,35,4.89,7.46,0.525562372,50,amy55,1287.0512,0.27271,4719.486634,1.62155,1.89426,1.594,0.6873,0.431179423,2.20513,2.89243,0.654902625,4.78669,0.01399617
E. amygdalina,,n,,6,1,Piperitae,E,Peppermint,24,12,2.54,6.6675,10.795,16,32,5,16,40.64,5.1352,4.5626,14.3,19.4,359.1048951,235.185567,4.8489,297.1452311,3,342,62,5.93,7.93,0.337268128,20,amy61,4027.2455,0.28915,13927.87653,8.528,8.81715,1.812,0.7898,0.435871965,8.744,9.5675,0.921573034,18.38465,0.053756287
E. amygdalina,,y,,6,2,Piperitae,E,Peppermint,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. amygdalina,,n,,6,3,Piperitae,E,Peppermint,24,12,3.81,8.255,16.51,26.5,53,5.6,25,63.5,4.3469,5.3227,17.7,19,245.5875706,280.1421053,4.8348,262.8648379,3,342,68.9,6.82,8.26,0.211143695,10,amy63,2734.6731,0.5298,5161.708381,5.82581,6.35561,3.589,1.5404,0.429200334,9.44563,11.02273,0.57659128,17.37834,0.05081386
E. amygdalina,,y,,6,4,Piperitae,E,Peppermint,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. amygdalina,,n,,6,5,Piperitae,E,Peppermint,24,12,2.54,6.985,14.605,23,37,5.4,17,43.18,5.1673,6.8086,29.3,45.9,176.3583618,148.335512,5.98795,162.3469369,3,342,,6.13,8.56,0.396411093,70,amy65,3083.5703,0.7255,4250.269194,4.7945,5.52,1.455,0.6192,0.42556701,10.33637,11.03077,0.500418375,16.55077,0.048394064
