ID,PTGR
Abelmoschus_esculentus,5217.39
Abies_grandis,10.96027778
Abies_pinsapo,6.658045977
Abolboda_poarchon,2000
Abolboda_pulchella,2166.67
Abronia_macrocarpa,44.17
Abutilon_hybridum,1291.67
Acacia_auriculiformis,116.2
Acacia_mangium,46.48
Acacia_retinodes,129.0333333
Acca_sellowiana,556.37
Acer_rubrum,181.82
Aconitum_kusnezoffii,865
Actinidia_chinensis,230
Actinidia_deliciosa,357
Adansonia_gibbosa,2941.18
Aechmea_fasciata,370.835
Aegle_marmelos,180.9
Agalinis_neoscotica,135.42
Agathis_australis,3.541666667
Albuca_angolensis,4218.4
Albuca_canadensis,1000
Albuca_setosa,2476.61
Allium_cepa,605.14
Alnus_firma,35.63
Alnus_sieboldiana,35.63
Alstroemeria_aurea,3090.909091
Alstroemeria_pelegrina,574.02
Amborella_trichopoda,96.35
Amsinckia_grandiflora,1483.335
Anacardium_occidentale,690
Anagallis_arvensis,233.33
Anagallis_monelli,105.56
Anagallis_parviflora,153.33
Ananas_comosus,8000
Annona_cherimola,223.6
Antirrhinum_controversum,131.1833333
Antirrhinum_meonanthus,326.92
Antirrhinum_valentinum,160.4166667
Aquilegia_canadensis,85
Arabidopsis_thaliana,263.7233333
Arachis_hypogea,1250
Araucaria_araucana,1.75
Arum_maculatum,17.36
Asparagus_officinalis,656
Aspidosperma_quebrachoblanco,43.75
Aureolaria_pedicularia,15.18
Austrobaileya_scandens,271.11
Banksia_coccinea,573.61
Bertholletia_excelsa,800
Betula_occidentalis,17.61
Betula_pendula,33.75
Betula_pubescens,19.33
Betula_verrucosa,8.88
Boswellia_serrata,181.83
Brachiaria_brizantha,750
Brachiaria_ruziziensis,896.4
Brasenia_schreberi,697.335
Brassica_campestris,631.58
Brassica_oleracea,575
Brassica_pekinensis,111.11
Butomus_umbellatus,224
Cabomba_caroliniana,1020
Caesalpinia_calycina,1222.22
Caesalpinia_pluviosa,833.33
Caesalpinia_pulcherrima,2352.94
Calandrinia_balonensis,
Calluna_vulgaris,387.29
Camellia_chrysantha,979.17
Camellia_japonica,594.44
Camellia_oleifera,337.8378378
Campanulastrum_americanum,1472
Campsis_radicans,1770.83
Capparis_retusa,975
Capsicum_annuum,333.33
Capsicum_frutescens,333.33
Carica_papaya,214.29
Carpinus_betulus,37.5
Carya_illinoensis,131.82
Carya_pecan,423.08
Caryocar_brasiliensis,
Caryocar_villosum,
Cayaponia_bonariensis,
Cedrus_deodara,2.9
Ceiba_pentandra,2500
Cerastium_uniflorum,1530
Ceratonia_siliqua,151.875
Cereus_peruvianus,2552.08
Chamaecrista_fasciculata,636.67
Chamaecrista_niticans,
Chamelaucium_uncinatum,29.72
Chamerion_angustifolium,2733.333333
Chimonanthus_nitens,
Chimonanthus_praecox,
Chimonanthus_salicifolius,
Chloranthus_japonicus,48.33
Chrysanthemum_leucanthemum,20000
Cichorium_intybus,33823.52941
Citrullus_lanatus,1150.54
Citrus_hybrid,20.6
Citrus_maxima,58.33
Citrus_medica,122.22
Citrus_reticulata,51.31
Clarkia_exilis,993.5
Clarkia_parviflora,626
Clarkia_tembloriensis,3833
Clarkia_unguiculata,1665.25
Clarkia_xantiana,630
Collinsia_heterophylla,2255.556667
Collomia_grandiflora,3701
Commiphora_wightii,42.36
Cornus_florida,70.83
Corylus_avellana,16.67
Corylus_heterophylla,62.5
Costus_laevis,7790
Costus_pulverulentus,7420
Costus_scaber,8760
Costus_sp1,5277.78
Cratoxylum_formosum,250
Crepis_capillaris,15000
Crinum_erubescens,3750
Crocus_chrysanthus,2428.57
Crocus_sativus,1759.26
Crocus_sp1,3600
Crocus_vernus,3950
Cucumis_anguria,773.915
Cucumis_melo,869.57
Cucumis_metuliferus,1008.7
Cucurbita_pepo,4193.1
Cypripedium_bardolphianum,41.67
Cypripedium_flavum,270.83
Cypripedium_tibeticum,270.83
Cyrtanthus_breviflorus,208.33
Cytisus_multiflorus,4.48
Cytisus_striatus,19.83
Dalzellia_zeylanica,1159
Datura_ceratocaula,2000
Datura_discolor,3000
Datura_ferox,2100
Datura_innoxia,3300
Datura_leichardtii,2240
Datura_metel,2900
Datura_meteloides,2400
Datura_pruinosa,2860
Datura_quercifolia,1900
Datura_stramonium,3766.444
Datura_suaveolens,5104.17
Daucus_carota,137.5
Decodon_verticillatus,527.7766667
Delphinium_nelsonii,395
Dendrobium_cvKenny,4.93
Dianthus_caryophyllus,3002
Discaria_americana,115
Dolichandra_cynanchoides,3055.56
Downingia_bacigalupii,853.3766667
Durio_zibethinus,1889.58
Echeveria_retusa,540
Eichhornia_paniculata,4000
Epacris_impressa,225
Ephedra_distachya,14
Ephedra_sp1,4.166666667
Ephedra_trifurca,16.04166667
Epilobium_canum,6875
Eriotheca_gracilipes,60.33
Eriotheca_pubescens,79.5
Eruca_sativa,275
Erythronium_grandiflorum,170.42
Eucalyptus_regnans,54.17
Eucalyptus_woodwardii,45
Eucommia_ulmoides,82.81
Fagopyrum_esculentum,5929.714286
Faramea_occidentalis,2182.5
Ficus_carica,47.61
Fragaria_x_annanas,62.5
Fraxinus_excelsior,292.86
Fumana_hispidula,272.73
Gasteria_lingua,2000
Gasteria_maculata,5000
Gasteria_verrucosa,4270
Gaura_lindheimeri,107.39
Gentianella_germanica,3088
Geranium_caespitosum,15132
Geranium_carolinianum,3088.24
Geranium_maculatum,8000
Geranium_sangiuneum,
Geum_rivale,
Gibasis_venustula,321.81
Ginkgo_biloba,0.335
Gloriosa_superba,833.33
Gloxinia_hybrida,11111.11
Gnetum_gnemon,9.613442114
Gossypium_arboreum,1342.11
Gossypium_barbadense,1289.47
Gossypium_herbaceum,1000
Gossypium_hirsutum,2271.0525
Gossypium_sp,1947.37
Grevillea_banksii,405.195
Grevillea_barklyana,153.125
Grevillea_beadleana,
