species,aggregation,ala.Elevation
E. amygdalina,87,250.2406272
E. archeri,28,959.6833977
E. barberi,68,193.1203852
E. brookeriana,22,343.9410289
E. coccifera,49,879.1909425
E. cordata,37,347.324066
E. dalrympleana,54,621.8517888
E. delegatensis,68,626.9615493
E. globulus,54,193.5363485
E. gunnii,36,911.9849669
E. johnstonii,41,589.3535912
E. morrisbyi,33,56.44444444
E. nebulosa,,197.8648649
E. nitida,76,259.3985898
E. obliqua,68,254.9254629
E. ovata,49,214.2151817
E. pauciflora,55,511.6820542
E. perriniana,14,514.0917874
E. pulchella,70,243.7300337
E. radiata,88,386.6619718
E. regnans,40,356.790705
E. risdonii,100,135.9591503
E. rodwayi,36,563.3186373
E. rubida,55,402.0018939
E. sieberi,73,201.5812721
E. subcrenulata,43,845.019802
E. tenuiramis,78,258.0384401
E. urnigera,21,786.2810328
E. vernicosa,41,709.0313901
E. viminalis,71,251.2405986
